Unnamed: 0,head,label,score,tail
139,729,,0.4273363912339304,4758
140,2341,,0.39184930377798444,317
141,5184,,0.3764269715327613,5045
142,1,,0.29119896511723264,3348
143,617,,0.3667245037232111,2910
144,2621,,0.9095077336121306,735
145,33,,0.0373354642624909,414
146,2987,,0.13469325859088277,716
147,2341,,0.9652093657059614,1730
148,559,,0.7671212788853103,919
149,25,,0.9987231594466485,5259
150,3767,,0.9551442592845762,2202
151,1,,0.4954354131494819,3764
152,325,,0.0967649254188182,343
153,2342,,0.9897871621977697,3980
154,20,,0.8536634568626489,457
155,2767,,0.11323856910019403,1564
156,36,,0.5050180403382529,2354
157,5045,,0.6784593227767781,4867
158,2695,,0.9899368162157927,4324
159,2644,,0.7072476273717867,2342
160,3268,,0.3922220210501923,302
161,16,,0.7632211672106327,2357
162,33,,0.9130264211132489,787
163,1645,,0.8149513891654845,4378
164,23,,0.5690249963781816,5430
165,9,,0.03459251202146629,3857
166,518,,0.18650243877854045,5183
167,15,,0.22569395315780227,1932
168,5117,,0.39791055209922155,2881
169,4299,,0.20836502410354762,1156
170,1981,,0.8450701674279341,351
171,34,,0.20732249616976528,4411
172,1,,0.4557483168265636,45
173,31,,0.8256985421805795,1308
174,3740,,0.39557880527765643,5295
175,6,,0.9169139905013253,5174
176,33,,0.2099453398684361,1827
177,971,,0.5248790026629772,1274
178,13,,0.1587201629187449,3212
179,4452,,0.597338446482756,5242
180,1,,0.9149464449349126,424
181,2875,,0.13161716806071022,43
182,1549,,0.6790392416168772,1756
183,26,,0.1370471501447299,966
184,1774,,0.9922749376649163,3308
185,35,,0.7632126558248076,2920
186,5260,,0.6226764789827308,2481
187,3099,,0.8302837452434317,1747
188,30,,0.8954709793068878,3318
189,40,,0.09732872256547964,2063
190,1398,,0.09140841490793761,1863
191,1707,,0.2462602470848505,4327
192,33,,0.2892394234172242,3289
193,3226,,0.2601764681350398,1071
194,20,,0.19526472919864912,2020
195,14,,0.5908671509492767,404
196,16,,0.2959415672698311,368
197,862,,0.5439589839233622,4035
198,15,,0.5857964458696787,2400
199,14,,0.3495691613207593,5371
200,3,,0.9434296153752761,1493
201,1549,,0.711320015853614,5045
202,20,,0.8606130362182223,2924
203,4437,,0.9708467234201137,159
204,23,,0.3300741081501364,4204
205,30,,0.9716659865380787,4767
206,3751,,0.20969807620918812,556
207,2,,0.561305399813139,1865
208,3288,,0.6274379978100372,770
209,1,,0.6397966518964813,4731
210,4011,,0.7822168448701984,2233
211,8,,0.41598152466973615,3767
212,1846,,0.15374691417117115,245
213,3975,,0.06859272086153967,413
214,8,,0.4926814156044159,484
215,109,,0.2810217461983182,4493
216,14,,0.15414375801742464,3458
217,24,,0.12958511413607376,2689
218,35,,0.9777098417051093,3129
219,1559,,0.5946153294766185,714
220,18,,0.890922653585013,3382
221,6,,0.35306691625969355,4618
222,4011,,0.28105301757926304,551
223,404,,0.48145924374691795,3446
224,900,,0.33816200175553734,4324
225,3,,0.5526769743861594,1801
226,27,,0.40797801932763045,1633
227,4,,0.7867752776434003,2633
228,18,,0.9163181891150374,109
229,1,,0.18737203454769713,1085
230,18,,0.2637048418485515,1635
231,26,,0.5121305437155613,1976
232,1645,,0.39310810200781965,3338
233,16,,0.45513389818383876,4736
234,1,,0.36578439306700816,3293
235,34,,0.907706501663014,2110
236,2474,,0.14125753140336716,4206
237,2198,,0.1880857797737715,2828
238,22,,0.7741425112966637,4071
239,3,,0.9464642471476242,3160
240,762,,0.17438695493443823,182
241,21,,0.5858982257262864,2724
242,4,,0.6247617438875028,921
243,6,,0.20771310651577013,3719
244,15,,0.09909336516395517,3001
245,16,,0.14033638164420692,2431
246,1329,,0.8667302054789098,3181
247,24,,0.2227665748624248,2016
248,25,,0.822472011319853,1332
249,2299,,0.8361718766278011,245
250,13,,0.9961192034929437,3320
251,4406,,0.6465318938406766,4606
252,5,,0.12426705556332762,3273
253,30,,0.31757433147483805,3697
254,33,,0.31328216013888865,3020
255,617,,0.30487740033086175,1016
256,620,,0.44282774826204985,3303
257,4254,,0.43763097902744774,1113
258,617,,0.7141598877555068,2615
259,2881,,0.4659320595550974,1905
260,1989,,0.1687522451560285,3751
261,24,,0.04671014163446674,480
262,4419,,0.0927831355761698,4270
263,1071,,0.7406271752550756,3767
264,9,,0.6351520937571149,1302
265,0,,0.5663525971871343,4811
266,9,,0.49278753827963706,139
267,34,,0.8332987819912507,4487
268,4690,,0.1933056590019956,2749
269,2097,,0.6291009756476021,4088
270,6,,0.9528329805551518,5391
271,4108,,0.9780577288028663,3222
272,7,,0.7728780308398291,4651
273,1,,0.8669944407158957,5424
274,4240,,0.15240045752887155,4503
275,27,,0.9417535627662909,2721
276,1447,,0.6085923679305829,1620
277,2987,,0.004035453940630429,3646
278,35,,0.33659208617681924,2315
279,4969,,0.2496209622820239,1655
280,5,,0.0469691718679176,514
281,15,,0.10003590419614228,3292
282,24,,0.17390961738891908,3583
283,10,,0.3353963183436145,5368
284,2621,,0.4019607560610088,5045
285,26,,0.5517034706227022,3982
286,4437,,0.45527583956594064,3267
287,29,,0.1448629524137901,4139
288,3337,,0.21470595323752795,1297
289,24,,0.2186190582508838,2859
290,1413,,0.6488508648790156,1797
291,1718,,0.3561976844118576,1559
292,1,,0.46316163166014823,1378
293,1,,0.1614786267958611,2672
294,22,,0.9007958215878372,985
295,1880,,0.4586726948054708,3977
296,1756,,0.21927903700314655,5316
297,20,,0.43773423450132065,1133
298,11,,0.9280097795724225,4405
299,1638,,0.8538256472855976,4405
300,228,,0.30688621459443577,1113
301,32,,0.7882846841903053,4017
302,26,,0.8146916725512556,191
303,4192,,0.4943127435316226,5239
304,3100,,0.5744891843698644,2844
305,245,,0.8871010001730504,5152
306,3988,,0.0269957094398503,1113
307,3,,0.5718950117028119,911
308,20,,0.22407583067964,3247
309,12,,0.158390847798472,5112
310,115,,0.7304069925011748,5099
311,6,,0.6323513571753097,2772
312,30,,0.39182173756184335,5294
313,617,,0.23795711752853588,4436
314,1451,,0.950030010205675,2202
315,30,,0.03994212058129609,4673
316,29,,0.865447730760344,42
317,4,,0.7557688584825043,2357
318,903,,0.8319055493011233,3222
319,5236,,0.42227138991701463,4009
320,4,,0.5813447263126379,528
321,32,,0.7954460513457329,2901
322,30,,0.570663853276163,3590
323,4,,0.6785729421208914,151
324,5,,0.08746581942494958,1337
325,23,,0.5721218675277694,1305
326,3450,,0.43448002297250754,1021
327,839,,0.20219339829331962,592
328,3469,,0.30582537869920456,3767
329,1797,,0.7175777692119947,245
330,22,,0.2047122676352665,2182
331,27,,0.7065362581009557,401
332,30,,0.27661996334479766,2558
333,20,,0.05379176527862939,1697
334,3446,,0.10757463679723112,5011
335,2340,,0.8108673646199203,1734
336,28,,0.6972920377163583,2410
337,11,,0.21233930589600902,1858
338,10,,0.7828017932387079,3789
339,2342,,0.8878166041008498,5316
340,0,,0.32403518618259997,5266
341,3,,0.07476306363827923,5312
342,1093,,0.9946803868083305,1597
343,3776,,0.7469140396680786,4757
344,837,,0.8249469668917218,3012
345,5178,,0.06927263745058732,823
346,24,,0.9057282790863888,743
347,19,,0.9863838114317734,3604
348,20,,0.1004923738593394,2708
349,1113,,0.2974776206563621,3793
350,14,,0.46141791665813214,1703
351,2332,,0.6074725868291937,1113
352,4549,,0.9721718533544115,2582
353,4691,,0.9147900375488166,3169
354,1156,,0.3344999511346062,1113
355,23,,0.39442287737047166,967
356,35,,0.9495332156001394,2934
357,2512,,0.7903051016709318,1308
358,2426,,0.9040307165002185,1398
359,3222,,0.9047085193977339,4270
360,5266,,0.32304159830632495,4999
361,642,,0.8692485783136825,1782
362,2321,,0.08210615117937414,2881
363,4,,0.8996586566572095,853
364,257,,0.7290978983061475,4292
365,4138,,0.6505439731807638,560
366,6,,0.1523818835116506,4734
367,24,,0.30019668107319397,1304
368,2,,0.8536539396835481,2660
369,13,,0.8814051598396149,711
370,1112,,0.4486809054552635,2305
371,20,,0.7648215020396043,1518
372,28,,0.022990626034366635,3939
373,3,,0.11212824766490281,5085
374,1918,,0.6721209523664169,5381
375,31,,0.3213892142847967,2814
376,17,,0.9739177226874564,999
377,5117,,0.9859825510653524,3922
378,31,,0.32727960063751227,1894
379,4437,,0.11052265986819831,5147
380,32,,0.02958667607112153,1227
381,5063,,0.8470027450305825,1666
382,33,,0.020187671058660595,4407
383,2949,,0.7806914616604264,175
384,34,,0.009147566814383445,1195
385,8,,0.8417589752720319,4005
386,4,,0.8187848377038593,4731
387,13,,0.4738220358646408,5000
388,29,,0.3054349022324955,2040
389,12,,0.3374544384656317,4138
390,809,,0.19781457351854315,2353
391,1112,,0.6157751240447257,501
392,22,,0.5571821492133404,2855
393,36,,0.7654190453862977,2940
394,17,,0.5980128609929718,5207
395,617,,0.18089608078566877,4902
396,21,,0.25625100762617836,4357
397,35,,0.9544301534303254,1476
398,2421,,0.6712396404906953,4684
399,3470,,0.5558829176917318,4757
400,24,,0.6624204448379182,4385
401,1723,,0.7305842642974781,3034
402,1788,,0.4743923693008817,1113
403,32,,0.5058470778772312,4019
404,3348,,0.4507323269901943,3854
405,28,,0.6890523440503963,4484
406,821,,0.7318255084233256,1419
407,2019,,0.7771316727128859,3718
408,2512,,0.9863641772566573,720
409,2260,,0.4407821802784513,5011
410,3296,,0.7527388810311568,182
411,6,,0.8524224721158704,4986
412,3045,,0.23234189035125208,4757
413,12,,0.9874366311809266,525
414,27,,0.6555552495381429,2875
415,195,,0.6033363488054975,11
416,4,,0.3419767351917409,4749
417,182,,0.6130671845879823,3818
418,3873,,0.025546821029603817,5343
419,1,,0.464881805770485,4636
420,31,,0.48434659169363237,4278
421,9,,0.4130357651935349,1857
422,34,,0.1658306409893473,2968
423,809,,0.7262510599673825,4405
424,4996,,0.5671241886490345,3800
425,3,,0.8456137246839917,4635
426,20,,0.884534178846937,1848
427,34,,0.5110342274011608,3849
428,13,,0.3038542726123099,4618
429,4528,,0.8772372321151248,4439
430,2573,,0.24127326812592165,453
431,19,,0.6308521872163252,2238
432,876,,0.552951788842978,5139
433,916,,0.8181036642027507,3922
434,27,,0.6410016644477357,2436
435,23,,0.5144322161159738,5348
436,9,,0.051289358163970844,2266
437,31,,0.42294665375822604,4032
438,36,,0.8434798959888097,547
439,1,,0.5276966390467983,264
440,11,,0.331066715774857,3259
441,9,,0.7898470401189706,5198
442,19,,0.09343555014513338,1938
443,902,,0.5091753270336533,810
444,8,,0.5416426246486702,1844
445,11,,0.4887505043474588,315
446,4138,,0.7754933036117435,1396
447,4,,0.5550804529082485,4941
448,2828,,0.599990855397764,1825
449,3578,,0.08167637446794007,1547
450,236,,0.34785155020340575,876
451,5,,0.7900856791562603,2828
452,29,,0.7725926271276674,2703
453,1,,0.5447991613254349,2393
454,2862,,0.1982535269480571,2674
455,3,,0.8007969112494883,299
456,0,,0.3531132843201066,2187
457,3525,,0.28687257080359474,559
458,23,,0.5374074315255519,3946
459,2314,,0.3676710402619583,4503
460,376,,0.33932711837404717,501
461,4371,,0.2974864312446923,442
462,3922,,0.9063395847734118,3521
463,1340,,0.8360574649424982,195
464,3520,,0.28377810294809447,3356
465,2947,,0.42877306622228306,4606
466,20,,0.1988467062516518,2964
467,1064,,0.36261307986039526,518
468,11,,0.697470122874923,144
469,1,,0.05275466954486019,2051
470,9,,0.2004132698952139,4719
471,174,,0.6160708170295771,1658
472,2,,0.6570032599419129,4275
473,6,,0.0366470287816949,1820
474,0,,0.9396633421409933,4262
475,2990,,0.6875041532673841,1718
476,5,,0.5762967892728282,5255
477,66,,0.14649112045523605,3222
478,4994,,0.4416646648356256,1737
479,3015,,0.9686942205063526,4621
480,7,,0.046207259713900606,4752
481,1252,,0.8513268215967391,115
482,28,,0.7109149031375739,5174
483,32,,0.24061830936534767,1314
484,2342,,0.05928600710513554,3099
485,23,,0.11368803233016156,4636
486,27,,0.8862645762461541,115
487,967,,0.9622785594826605,4869
488,24,,0.8681747880869045,2310
489,1,,0.33201078336237977,1251
490,31,,0.7951082520912762,3598
491,2520,,0.4992719932942834,3543
492,305,,0.6924467997691578,227
493,4405,,0.45695226353162055,773
494,453,,0.5551863619441904,1100
495,3,,0.1333244250435477,2464
496,34,,0.09737513542587906,4224
497,4017,,0.11390952133084342,2136
498,34,,0.18343855438707102,3378
499,3342,,0.11431706134243758,4186
500,3697,,0.811959899789683,3543
501,7,,0.7471485583934964,3928
502,9,,0.8148109744644038,5078
503,22,,0.771507205681254,3437
504,809,,0.20136013684701726,2941
505,8,,0.6532770260408762,4607
506,59,,0.010148275003516005,5191
507,33,,0.2750804075134786,496
508,3015,,0.05498082094414258,1989
509,174,,0.8511637310562091,5414
510,4138,,0.7338315973963158,4305
511,27,,0.34865209198278235,2890
512,453,,0.20977708785696714,4938
513,1619,,0.6178775734518083,3428
514,325,,0.09573992677488774,3417
515,5350,,0.804661924136744,3216
516,28,,0.2627480164053698,507
517,2814,,0.8278007315306541,1783
518,4192,,0.6868770423783047,3977
519,3250,,0.7316247666268743,2177
520,1463,,0.01794674592964529,3034
521,4757,,0.9053147389404335,4088
522,21,,0.5974974346061964,5166
523,2179,,0.4250786566851199,599
524,1,,0.5889615988598046,4655
525,18,,0.7565996512848467,1956
526,412,,0.2717941786829966,4138
527,3,,0.8927649716856327,2022
528,1706,,0.5175346915486939,2177
529,5159,,0.6263195427892561,4689
530,4492,,0.7057300345953791,1370
531,21,,0.01952785163552173,1227
532,10,,0.9352821362642453,830
533,8,,0.49028370463170945,4606
534,29,,0.33059556366660015,2526
535,15,,0.9039191696965148,3695
536,3,,0.7540557318784504,4484
537,17,,0.5012324644197764,4113
538,6,,0.33499123184855517,435
539,12,,0.16937241617244414,5261
540,900,,0.3580997109745371,1356
541,10,,0.036096285277948836,757
542,4729,,0.48904731825278247,4934
543,20,,0.23994437929953571,948
544,22,,0.9649436398799022,3556
545,22,,0.9824768866212625,1168
546,18,,0.9241169607810858,531
547,3890,,0.02347641973182346,5045
548,1508,,0.46187555589956597,3258
549,1955,,0.263503800293837,2039
550,876,,0.3934366226605118,3614
551,2209,,0.8844207779978698,1760
552,5213,,0.8782217485995183,1598
553,34,,0.31890676326162637,5161
554,28,,0.0022606068488595366,637
555,26,,0.46583492733569976,1655
556,3751,,0.9887490954325505,1259
557,30,,0.027428175668786303,1978
558,5166,,0.2828138543259736,3028
559,3,,0.8410220585835075,2775
560,2412,,0.5090876533795107,2045
561,24,,0.5519252456901055,3817
562,10,,0.651600165092865,242
563,27,,0.45757635673872366,3823
564,944,,0.22474427987685175,3241
565,4,,0.1594557609065652,443
566,642,,0.12183481632768478,4886
567,1252,,0.1063675507267321,2472
568,11,,0.2465195256511188,5279
569,3,,0.5812974296007597,1938
570,2225,,0.009441390016407536,3151
571,4334,,0.3213816299714828,4551
572,19,,0.14497471865162304,4528
573,28,,0.8497075630150179,224
574,21,,0.6619308199085195,5032
575,17,,0.8318565390223933,2680
576,115,,0.6650547154502685,3396
577,29,,0.7500018511481764,2360
578,827,,0.31739676746174583,1435
579,1,,0.859857019414377,4140
580,1508,,0.6583361739273363,1324
581,2418,,0.33515168005613205,3710
582,21,,0.9081746310646273,2937
583,4549,,0.5863804648556776,729
584,29,,0.4125046566873174,3795
585,16,,0.25169047812625334,1054
586,454,,0.09625786938513536,3150
587,2388,,0.35609655625195025,560
588,20,,0.35557247017186977,1566
589,5278,,0.7756228868824897,1230
590,7,,0.8824879712229206,4619
591,19,,0.3883178469155639,2653
592,5,,0.08356995573944681,4909
593,3673,,0.5080010440754531,175
594,7,,0.3140854706931171,5073
595,35,,0.4983440491075104,275
596,6,,0.7817849744200526,2377
597,698,,0.057240002454358674,2983
598,11,,0.8742748261061389,2209
599,1211,,0.6319752932196389,2341
600,3146,,0.9370444360033982,4482
601,3747,,0.6455091270392846,1370
602,31,,0.8083060896095524,1429
603,117,,0.20609911909226475,1163
604,3,,0.8677795789304307,5416
605,710,,0.7315138877979732,2881
606,2708,,0.38231474027390233,5350
607,2342,,0.5896230221242756,2837
608,10,,0.5549345273632788,3378
609,439,,0.8955449469441227,1756
610,18,,0.2360519873493182,1821
611,7,,0.10591010595241834,998
612,4141,,0.7359699578805189,4200
613,35,,0.9507001831950322,4523
614,24,,0.12381753072353929,3041
615,5215,,0.13809170498391266,259
616,4,,0.08836884989893512,1976
617,36,,0.6680868676379913,275
618,13,,0.2193809723779403,2430
619,11,,0.26886461429256714,4416
620,4436,,0.9355760936593798,3259
621,1985,,0.38740424274503693,174
622,5313,,0.3291910077800082,2276
623,1796,,0.9561547831139493,2623
624,4336,,0.5553110026132944,714
625,392,,0.4541687984653292,3241
626,36,,0.7369634710796195,1337
627,443,,0.9943341056210074,1063
628,1,,0.6412008081116211,2930
629,11,,0.07085427925911592,3537
630,2116,,0.4462650722888596,4533
631,22,,0.405508588116512,568
632,17,,0.601239611619598,20
633,2462,,0.8477204812757557,674
634,0,,0.7226641171247651,4550
635,30,,0.9312406584732444,2207
636,13,,0.2757505073592835,3438
637,5432,,0.047636251865376567,3994
638,4192,,0.7281452826283804,3434
639,2891,,0.8639718011222152,705
640,31,,0.11685651239386885,5318
641,3841,,0.3434102230719225,934
642,1664,,0.5592723196040497,3496
643,4011,,0.8678614018278369,3339
644,2862,,0.005533318422537237,3758
645,1211,,0.09415070991025065,3723
646,5,,0.2733168430283778,3699
647,18,,0.8751258571614463,1887
648,5350,,0.31989792726521504,2053
649,17,,0.30877217581692007,1954
650,35,,0.9529780332814061,4720
651,3222,,0.7630680625268454,695
652,5229,,0.8946247898885811,2342
653,14,,0.5578974989746305,1378
654,15,,0.3114107825354302,1515
655,1986,,0.7463128669827023,3485
656,30,,0.6211358631796632,1386
657,8,,0.8968368240321173,4071
658,10,,0.03703353245370722,4585
659,3922,,0.4409765356154194,3870
660,27,,0.2797358086714419,4883
661,2687,,0.2305594466247839,3708
662,18,,0.28098408257649765,219
663,4826,,0.3807340324366235,3012
664,2862,,0.6359523889468218,1797
665,4401,,0.5166357946087545,2388
666,33,,0.4444306570297104,4571
667,2190,,0.43468082268246566,2063
668,29,,0.5478896857782583,3385
669,32,,0.36041210019467396,5214
670,3222,,0.21321066370291586,2477
671,117,,0.7502586509312997,581
672,3922,,0.13843013425962747,4644
673,13,,0.31480564682335244,2543
674,3250,,0.33262698249404943,336
675,4138,,0.9772849339674832,2902
676,30,,0.7559190803698124,1201
677,198,,0.2308681826636837,1508
678,13,,0.6651171939706203,3247
679,22,,0.05066562442484601,5030
680,19,,0.32527350538054434,3140
681,10,,0.8814977789845008,5258
682,4328,,0.7712644791070064,3002
683,24,,0.18949380044125874,5109
684,2353,,0.012841698886612907,1466
685,5288,,0.09176586993515878,4122
686,3609,,0.6799660788516516,3928
687,22,,0.493051810562921,5104
688,3015,,0.8735406287816272,556
689,27,,0.33791461494567376,2709
690,27,,0.16780127861684235,2570
691,4169,,0.028884218578120735,1146
692,15,,0.2374535399206973,4939
693,4327,,0.759004323960604,2468
694,3303,,0.575870911663974,4994
695,33,,0.04200025382471251,2753
696,23,,0.04322716314193742,5061
697,10,,0.29180593152465817,375
698,3349,,0.185472658492158,2299
699,2910,,0.8838441519176443,4011
700,36,,0.7635733060578622,1004
701,3758,,0.06630171240686389,4436
702,21,,0.7914957663097039,5124
703,340,,0.22016896926275298,2091
704,25,,0.6267205537342918,5350
705,1552,,0.44436803882278875,2351
706,63,,0.7887603729002045,2285
707,17,,0.41097795316421804,2893
708,8,,0.7661592372512865,1141
709,3913,,0.46076293833584425,2512
710,4,,0.35446005464561015,4657
711,3557,,0.617732508434582,1384
712,26,,0.6708803953539453,322
713,602,,0.3343310784303547,216
714,1071,,0.8159144730024072,199
715,1,,0.7911868950491504,5180
716,26,,0.27520404767880957,1693
717,6,,0.45696531019035247,2210
718,2981,,0.7165632233949721,1650
719,18,,0.6772396693234248,3301
720,26,,0.16895401865286475,1411
721,17,,0.9146837193956833,2529
722,24,,0.9122670608077302,3341
723,16,,0.026985844670931236,257
724,16,,0.9202295605788768,4918
725,23,,0.4588941285743331,4184
726,3922,,0.5009852897779662,710
727,876,,0.356879585884184,2678
728,22,,0.7728363807469417,386
729,2112,,0.4254966081798347,5342
730,5368,,0.10848950586601336,2707
731,3056,,0.6166445084732233,59
732,4436,,0.22681730957174528,4076
733,5303,,0.9585899815769101,2891
734,6,,0.03952947109404892,721
735,1836,,0.8352328724301079,4478
736,25,,0.03316682808230664,501
737,3680,,0.9222183059435709,1183
738,12,,0.5087110420192332,4697
739,35,,0.7982235728824506,1134
740,3653,,0.5123363944082937,1463
741,2670,,0.07967517303423244,4621
742,2,,0.734069298762961,3707
743,3234,,0.8363040319470327,3335
744,27,,0.12068930960487156,2985
745,1578,,0.9901043752917578,3222
746,7,,0.9097532525134806,5086
747,2014,,0.1681578730783344,621
748,5389,,0.620902022626965,5329
749,28,,0.03540323735376105,3102
750,4,,0.26930796899603304,4563
751,410,,0.3181711786849323,3922
752,23,,0.8712221798005213,4713
753,10,,0.21331106076680195,3049
754,26,,0.05257128937639444,4195
755,2481,,0.6033864950397317,2623
756,1426,,0.7096667327683931,3962
757,12,,0.7374538408716398,3227
758,2,,0.7611799545890156,1315
759,5184,,0.9573604329984262,1413
760,28,,0.8981998445472019,5144
761,35,,0.785494132336154,3231
762,16,,0.40618063029431506,2303
763,1511,,0.3473654818779146,732
764,9,,0.16971651261370435,261
765,28,,0.40584828183461064,3575
766,1500,,0.8966633821466335,1881
767,6,,0.34455414067519063,3199
768,5110,,0.13188417634669125,13
769,16,,0.7049257273711383,2977
770,12,,0.6849242503546414,94
771,5310,,0.0639944096597509,3873
772,4324,,0.9096148215965799,2054
773,5157,,0.5917356216166434,4192
774,5342,,0.884037465356707,3434
775,36,,0.2407691592575979,2721
776,2306,,0.9969047895236418,492
777,3937,,0.8758025076427632,1422
778,3446,,0.9080962898686946,3189
779,3189,,0.8328749701544998,1088
780,24,,0.7242775793729601,1707
781,9,,0.8592430102483614,3826
782,5,,0.7097178752559707,5158
783,24,,0.6671374834246662,57
784,13,,0.1731302957510169,773
785,17,,0.9173937987203488,5141
786,2276,,0.052028576929534553,5099
787,3012,,0.03570627823361505,1137
788,27,,0.9535087514059771,3151
789,24,,0.0461360348040043,557
790,2,,0.5268341231870396,1618
791,5434,,0.872061711205486,2450
792,1113,,0.8178174723291751,4299
793,4554,,0.6447009267708609,4252
794,182,,0.7684988551463433,3881
795,11,,0.08050951296323716,844
796,4037,,0.2648883820471307,1071
797,5355,,0.5953464186982974,2592
798,0,,0.6164185868912135,2465
799,1658,,0.2682719856541065,3143
800,14,,0.293064504826432,2972
801,4232,,0.898860836457693,2160
802,25,,0.045126096652798875,3075
803,2,,0.9145352419709817,1511
804,15,,0.923380380322222,5264
805,285,,0.871313925657045,4599
806,5184,,0.6783088736988442,4517
807,7,,0.6745962482106111,1091
808,1,,0.9506961036509671,1229
809,12,,0.536008042646861,1827
810,26,,0.48168467248578095,4962
811,4212,,0.7030277921206927,3303
812,5005,,0.6088336931405248,3708
813,34,,0.5392195130712669,535
814,7,,0.4669700799416566,565
